Chunk,Model,BLEU-4_ref1,BLEU-4_ref2,BLEU-4_diff,chrF++_ref1,chrF++_ref2,chrF++_diff,METEOR_ref1,METEOR_ref2,METEOR_diff,ROUGE-L_ref1,ROUGE-L_ref2,ROUGE-L_diff,BERTScore_ref1,BERTScore_ref2,BERTScore_diff,BLEURT_ref1,BLEURT_ref2,BLEURT_diff,COMET_ref1,COMET_ref2,COMET_diff
1,claude,0.3020954992880151,0.3104587444970481,-0.008363245209032977,0.5786133655582879,0.5842728410155418,-0.005659475457253871,0.5578790705961099,0.5502796506142358,0.007599419981874078,0.6133828996282528,0.5961199294532629,0.0172629701749899,0.9237424731254578,0.9285278916358948,-0.004785418510437012,0.5628882646560669,0.541496992111206,0.02139127254486084,0.8030046820640564,0.8256305456161499,-0.022625863552093506
1,gemini,0.257887318024959,0.2954463746413213,-0.037559056616362274,0.541019884152217,0.5908252662994667,-0.04980538214724972,0.5345197703390749,0.530008446497598,0.0045113238414769,0.5888689407540396,0.6006825938566552,-0.011813653102615618,0.9158430099487305,0.9338334202766418,-0.017990410327911377,0.5411908030509949,0.5903801918029785,-0.04918938875198364,0.8043116927146912,0.8314501047134399,-0.02713841199874878
1,openai,0.27385664720418473,0.2596555594344989,0.014201087769685816,0.5383162896483119,0.5741007993130725,-0.035784509664760544,0.5000027663341062,0.4944511097158937,0.005551656618212553,0.5528756957328386,0.5774647887323943,-0.024589092999555695,0.9136078357696533,0.9273990392684937,-0.013791203498840332,0.4909350872039795,0.5235078930854797,-0.032572805881500244,0.7974326610565186,0.8235013484954834,-0.026068687438964844
2,claude,0.2414866032461424,0.24307568091266815,-0.0015890776665257456,0.561022298990191,0.5644873411267725,-0.0034650421365814976,0.5024119326193414,0.5072313138152796,-0.004819381195938277,0.5218978102189781,0.530214424951267,-0.008316614732288952,0.9174371957778931,0.9191149473190308,-0.0016777515411376953,0.4611276388168335,0.5168820023536682,-0.05575436353683472,0.8297576904296875,0.8147410154342651,0.015016674995422363
2,gemini,0.2250090619210981,0.22763605869237352,-0.002626996771275425,0.5459155251486996,0.5743656864196716,-0.028450161270971996,0.4875171493602527,0.5006282453844211,-0.013111096024168378,0.49825783972125437,0.5194805194805195,-0.021222679759265173,0.9098606705665588,0.9080392122268677,0.0018214583396911621,0.5198280215263367,0.5161569714546204,0.0036710500717163086,0.8323825597763062,0.8199384808540344,0.012444078922271729
2,openai,0.22480522217327162,0.22539572078424921,-0.0005904986109775967,0.5263693148556331,0.537969432188536,-0.011600117332902893,0.4736011696992095,0.48104143906157704,-0.007440269362367524,0.46605504587155966,0.4666666666666666,-0.0006116207951069597,0.9095056056976318,0.909500241279602,5.364418029785156e-06,0.47315794229507446,0.49239999055862427,-0.019242048263549805,0.8226314187049866,0.8284248113632202,-0.005793392658233643
3,claude,0.17113992752884102,0.16790957820263785,0.003230349326203169,0.5260989759127035,0.5032045587853805,0.022894417127322986,0.4753833394988038,0.4405621672992879,0.034821172199515915,0.499108734402852,0.4622950819672131,0.03681365243563889,0.9079549908638,0.900688111782074,0.007266879081726074,0.4502583146095276,0.41555356979370117,0.034704744815826416,0.7721437215805054,0.7921339273452759,-0.019990205764770508
3,gemini,0.21627824675922727,0.1974185925138272,0.018859654245400065,0.554967278227575,0.52540082631782,0.02956645190975493,0.5241998278269341,0.46697952176361124,0.057220306063322846,0.5051546391752577,0.4595879556259905,0.04556668354926724,0.897047758102417,0.9030231833457947,-0.0059754252433776855,0.4978940486907959,0.49791282415390015,-1.8775463104248047e-05,0.7821378707885742,0.8116992115974426,-0.029561340808868408
3,openai,0.19538587456113743,0.15764469115212076,0.037741183409016665,0.5200682207233167,0.47835024842594526,0.04171797229737145,0.47616971432130184,0.4169822773159965,0.05918743700530532,0.45569620253164556,0.42524916943521596,0.0304470330964296,0.8976486325263977,0.9031088948249817,-0.005460262298583984,0.46019017696380615,0.4359145164489746,0.024275660514831543,0.7785301804542542,0.8070603609085083,-0.02853018045425415
4,claude,0.1322130400139484,0.20964152254186927,-0.07742848252792087,0.5079508194217557,0.4949377417784988,0.013013077643256876,0.42974028284190463,0.45121314575444765,-0.021472862912543023,0.4689922480620155,0.5096153846153846,-0.04062313655336908,0.8993198871612549,0.9023823738098145,-0.0030624866485595703,0.5331422686576843,0.46397727727890015,0.06916499137878418,0.751308798789978,0.7722128629684448,-0.020904064178466797
4,gemini,0.1615965226766628,0.2683500063762523,-0.10675348369958948,0.5401450750318271,0.5415504153168635,-0.0014053402850364716,0.4540884346471228,0.4628965173387395,-0.008808082691616703,0.4927536231884058,0.5545454545454546,-0.06179183135704874,0.8976007699966431,0.9087885022163391,-0.011187732219696045,0.5129101872444153,0.48503774404525757,0.027872443199157715,0.7601778507232666,0.7877301573753357,-0.027552306652069092
