Model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,BLEURT,COMET,TQS
ChatGPT,0.314 (0.061),0.534 (0.037),0.464 (0.054),0.509 (0.053),0.910 (0.012),0.498 (0.034),0.799 (0.019),92.322 (6.592)
Claude,0.342 (0.062),0.554 (0.034),0.485 (0.034),0.553 (0.056),0.916 (0.009),0.504 (0.039),0.798 (0.021),96.253 (2.305)
Gemini,0.342 (0.050),0.570 (0.028),0.500 (0.039),0.560 (0.049),0.915 (0.010),0.513 (0.043),0.807 (0.018),97.106 (3.259)
Aggregate,0.333 (0.057),0.553 (0.035),0.483 (0.044),0.541 (0.056),0.914 (0.010),0.505 (0.038),0.801 (0.019),95.227 (4.788)
