Metric,Pearson r,Pearson p,Spearman ρ,Spearman p,Kendall's τ,p-value
BERTScore,0.7530239955039418,3.917551128922182e-12,0.4341229604084023,0.0005292420035084825,-0.010001125189879351,0.9400344135347908
BLEU-4,0.44708325730868537,0.0003420309228377986,0.41631122017785843,0.0009380648223282735,0.0,1.0
COMET,0.6049937802670641,3.055478565635218e-07,0.5129558886986562,2.7818922301483887e-05,0.010001125189879351,0.9400344135347908
METEOR,0.5330376131549743,1.1617807157216306e-05,0.2603959714515226,0.04449479608583731,-0.010001125189879351,0.9400344135347908
ROUGE-L,0.3447782908301098,0.006981555330407467,0.3144703029470581,0.014402422451831157,-0.04500506335445708,0.7349715540275837
chrF++,0.5303347336648543,1.310925400636911e-05,0.3758527275481053,0.0030820090199526052,0.04500506335445708,0.7349715540275837
